,Observed,Trend,Seasonal,Residual
2024-08-20,0.0,,24.861985723171703,
2024-08-21,0.0,,10.324794141168805,
2024-08-22,6.0,,21.613255679630345,
2024-08-23,6.0,1.857142857142857,5.9253280412310065,-1.7824708983738633
2024-08-24,0.0,2.4285714285714284,-33.263351204052015,30.834779775480587
2024-08-25,0.0,3.4285714285714284,-34.99380942507627,31.565237996504845
2024-08-26,1.0,2.714285714285714,5.531797043926425,-7.24608275821214
2024-08-27,4.0,6.857142857142857,24.861985723171703,-27.71912858031456
2024-08-28,7.0,8.428571428571429,10.324794141168805,-11.753365569740234
2024-08-29,1.0,8.428571428571429,21.613255679630345,-29.041827108201772
2024-08-30,35.0,8.571428571428573,5.9253280412310065,20.50324338734042
2024-08-31,11.0,10.57142857142857,-33.263351204052015,33.691922632623445
2024-09-01,0.0,14.0,-34.99380942507627,20.99380942507627
2024-09-02,2.0,15.714285714285712,5.531797043926425,-19.246082758212136
2024-09-03,18.0,14.0,24.861985723171703,-20.861985723171703
2024-09-04,31.0,12.428571428571427,10.324794141168805,8.246634430259768
2024-09-05,13.0,12.428571428571427,21.613255679630345,-21.041827108201772
2024-09-06,23.0,19.428571428571427,5.9253280412310065,-2.3538994698024336
2024-09-07,0.0,22.999999999999996,-33.263351204052015,10.263351204052018
2024-09-08,0.0,25.57142857142857,-34.99380942507627,9.422380853647702
2024-09-09,51.0,27.42857142857143,5.531797043926425,18.039631527502145
2024-09-10,43.0,26.714285714285715,24.861985723171703,-8.576271437457418
2024-09-11,49.0,34.42857142857143,10.324794141168805,4.246634430259764
2024-09-12,26.0,34.42857142857143,21.613255679630345,-30.041827108201776
2024-09-13,18.0,31.142857142857146,5.9253280412310065,-19.06818518408815
2024-09-14,54.0,29.0,-33.263351204052015,58.263351204052015
2024-09-15,0.0,27.428571428571427,-34.99380942507627,7.565237996504845
2024-09-16,28.0,30.14285714285714,5.531797043926425,-7.674654186783564
2024-09-17,28.0,30.57142857142857,24.861985723171703,-27.433414294600272
2024-09-18,38.0,22.857142857142854,10.324794141168805,4.818063001688341
2024-09-19,45.0,22.999999999999996,21.613255679630345,0.3867443203696581
2024-09-20,21.0,25.714285714285708,5.9253280412310065,-10.639613755516715
2024-09-21,0.0,24.71428571428571,-33.263351204052015,8.549065489766303
2024-09-22,1.0,26.142857142857142,-34.99380942507627,9.85095228221913
2024-09-23,47.0,24.857142857142854,5.531797043926425,16.61106009893072
2024-09-24,21.0,30.0,24.861985723171703,-33.8619857231717
2024-09-25,48.0,30.0,10.324794141168805,7.675205858831195
2024-09-26,36.0,29.857142857142854,21.613255679630345,-15.4703985367732
2024-09-27,57.0,25.142857142857142,5.9253280412310065,25.93181481591185
2024-09-28,0.0,31.0,-33.263351204052015,2.2633512040520145
2024-09-29,0.0,33.28571428571428,-34.99380942507627,1.708095139361994
2024-09-30,14.0,36.14285714285714,5.531797043926425,-27.674654186783563
2024-10-01,62.0,34.14285714285714,24.861985723171703,2.9951571339711585
2024-10-02,64.0,34.14285714285714,10.324794141168805,19.532348715974056
2024-10-03,56.0,34.14285714285714,21.613255679630345,0.24388717751251576
2024-10-04,43.0,37.14285714285714,5.9253280412310065,-0.06818518408814533
2024-10-05,0.0,40.285714285714285,-33.263351204052015,-7.02236308166227
2024-10-06,0.0,31.714285714285715,-34.99380942507627,3.2795237107905564
2024-10-07,35.0,29.857142857142858,5.531797043926425,-0.3889399010692829
2024-10-08,84.0,49.14285714285714,24.861985723171703,9.995157133971158
2024-10-09,4.0,49.14285714285714,10.324794141168805,-55.46765128402595
2024-10-10,43.0,49.14285714285714,21.613255679630345,-27.756112822487484
2024-10-11,178.0,50.57142857142857,5.9253280412310065,121.50324338734042
2024-10-12,0.0,46.857142857142854,-33.263351204052015,-13.59379165309084
2024-10-13,0.0,82.71428571428571,-34.99380942507627,-47.72047628920944
2024-10-14,45.0,83.7142857142857,5.531797043926425,-44.24608275821212
